final monument	description	program	specific rules
601850-000901	GALLEY G1	SFE	NULL
601850-001001	GALLEY G1	SFE	NULL
601850-001101	GALLEY G1	SFE	NULL
601850-001201	GALLEY G1	SFE	NULL
601850-001301	GALLEY G1	SFE	NULL
601850-001401	GALLEY G1	SFE	NULL
601850-001501	GALLEY G1	SFE	NULL
601850-001601	GALLEY G1	SFE	NULL
601850-001701	GALLEY G1	SFE	NULL
601850-001801	GALLEY G1	SFE	NULL
601850-001901	GALLEY G1	SFE	NULL
601850-002001	GALLEY G1	SFE	NULL
601850-002101	GALLEY G1	SFE	NULL
601850-002201	GALLEY G1	SFE	NULL
601850-002301	GALLEY G1	SFE	NULL
601850-002401	GALLEY G1	SFE	NULL
601850-002501	GALLEY G1	SFE	NULL
601850-002801	GALLEY G1	SFE	NULL
601850-002901	GALLEY G1	SFE	NULL
601850-003001	GALLEY G1	SFE	NULL
601850-003101	GALLEY G1	SFE	NULL
601850-003201	GALLEY G1	SFE	NULL
601850-003401	GALLEY G1	SFE	NULL
601850-003501	GALLEY G1	SFE	NULL
601850-003601	GALLEY G1	SFE	NULL
601850-003701	GALLEY G1	SFE	NULL
601850-003801	GALLEY G1	SFE	NULL
601850-003901	GALLEY G1	SFE	NULL
601850-004001	GALLEY G1	SFE	NULL
601850-004101	GALLEY G1	SFE	NULL
601850-004901	GALLEY G1	SFE	NULL
601850-005001	GALLEY G1	SFE	NULL
601850-005601	GALLEY G1	SFE	NULL
601850-005701	GALLEY G1	SFE	NULL
601850-005801	GALLEY G1	SFE	NULL
601850-005901	GALLEY G1	SFE	NULL
601850-006001	GALLEY G1	SFE	NULL
601850-006101	GALLEY G1	SFE	NULL
601850-006201	GALLEY G1	SFE	NULL
601850-006501	GALLEY G1	SFE	NULL
601850-006601	GALLEY G1	SFE	NULL
601850-006801	GALLEY G1	SFE	NULL
601850-006901	GALLEY G1	SFE	NULL
601861-007701	STOWAGE S1, 18" FWD LH	SFE	NULL
601861-007901	STOWAGE S1, 18" FWD LH	SFE	NULL
601861-008701	STOWAGE S1, 18" FWD LH	SFE	NULL
601861-M006201	STOWAGE S1, 18" FWD LH	SFE	NULL
601862-000102	STOWAGE S6, 12" AFT RH	SFE	NULL
601862-000202	STOWAGE S6, 12" AFT RH	SFE	NULL
601862-000301	STOWAGE S5, 16" FWD LH	SFE	NULL
601862-000402	STOWAGE S6, 12" AFT RH	SFE	NULL
601862-000501	STOWAGE S5, 15" AFT LH	SFE	NULL
601862-000601	STOWAGE S5, 12" AFT LH	SFE	NULL
601862-000702	STOWAGE S4, 15" AFT RH	SFE	NULL
601863-000101	STOWAGE S3, 15" AFT LH	SFE	NULL
601863-000102	STOWAGE S4, 15" AFT RH	SFE	NULL
601863-000202	STOWAGE S4, 15" AFT RH	SFE	NULL
601863-000301	STOWAGE S4, 18" AFT LH	SFE	NULL
601863-000402	STOWAGE S4, 15" AFT RH	SFE	NULL
601863-000502	STOWAGE S3, 15” AFT RH	SFE	NULL
601863-000602	STOWAGE S5 15" AFT RH	SFE	NULL
601863-000702	STOWAGE S6 15" AFT RH	SFE	NULL
601863-000802	STOWAGE S4, 15" AFT RH (THY05)	SFE	NULL
601863-000902	STOWAGE S3, 15” AFT RH (THY05)	SFE	NULL
601863-001401	STOWAGE S3, 18" AFT LH	SFE	NULL
601863-001402	STOWAGE S4, 18" AFT RH	SFE	NULL
601863-001602	STOWAGE S4, 15" AFT RH	SFE	NULL
601863-001702	STOWAGE S3, 15" AFT RH	SFE	NULL
601863-001802	STOWAGE S4, 15" AFT RH	SFE	NULL
601863-001901	STOWAGE C1, 15" AFT LH	SFE	NULL
601863-001902	STOWAGE C2, 15" AFT RH	SFE	NULL
601863-002002	STOWAGE S3, 15" AFT RH BO	SFE	NULL
601863-002102	STOWAGE S4, 15" AFT RH BO	SFE	NULL
601863-002301	STOWAGE S3, 18" AFT LH	SFE	NULL
601863-002401	STOWAGE S3, 15" FWD LH	SFE	NULL
601863-003701	STOWAGE S5, 15” AFT RH	SFE	NULL
601863-004002	STOWAGE S3, 15" AFT RH	SFE	NULL
601863-004601	STOWAGE C1, 15" AFT LH	SFE	NULL
601863-004602	STOWAGE C2, 15" AFT RH	SFE	NULL
601864-000102	STOWAGE S4, 15" FWD RH	SFE	NULL
601865-000101	GALLEY G2A	SFE	NULL
601865-000201	GALLEY G2A	SFE	NULL
601865-000401	GALLEY G2a	SFE	NULL
601865-000501	GALLEY G2a	SFE	NULL
601865-000601	GALLEY G2a	SFE	NULL
601865-000701	GALLEY G2A	SFE	NULL
601865-000801	GALLEY G2A	SFE	NULL
601865-000901	GALLEY G2A	SFE	NULL
601865-001101	GALLEY G2A	SFE	NULL
601865-001201	GALLEY G2a	SFE	NULL
601865-001301	GALLEY G2A	SFE	NULL
601865-001401	GALLEY G2A	SFE	NULL
601865-001501	GALLEY G2A	SFE	NULL
601865-001601	GALLEY G2a (AWW04)	SFE	NULL
601865-001701	GALLEY G2a (TNA04 D3 and on)	SFE	NULL
601865-001801	GALLEY G2A	SFE	NULL
601865-001901	GALLEY G2A	SFE	NULL
601865-002001	GALLEY G2A	SFE	NULL
601865-002101	GALLEY G2A	SFE	NULL
601865-002201	GALLEY G2A	SFE	NULL
601865-002601	GALLEY G2a HSD	SFE	NULL
601865-002701	GALLEY G2a HSD	SFE	NULL
601865-002801	GALLEY G2a HSD	SFE	NULL
601865-003001	GALLEY G2a	SFE	NULL
601865-003101	GALLEY G2a	SFE	NULL
601865-003201	GALLEY G2a	SFE	NULL
601865-004801	GALLEY G2a	SFE	NULL
601865-004901	GALLEY G2a	SFE	NULL
601865-005001	GALLEY G2a	SFE	NULL
601865-005101	GALLEY G2a	SFE	NULL
601865-005301	GALLEY G2a	SFE	NULL
601865-005501	GALLEY G2a	SFE	NULL
601865-005601	GALLEY G2a	SFE	NULL
601865-005701	GALLEY G2a	SFE	NULL
601865-005801	GALLEY G2a	SFE	NULL
601865-005901	GALLEY G2a	SFE	NULL
601870-000801	GALLEY G3	SFE	NULL
601870-001301	GALLEY G3	SFE	NULL
601870-001501	GALLEY G3	SFE	NULL
601874-000201	STOWAGE S1, 13" MID LH	SFE	NULL
601874-000202	STOWAGE S2, 13" MID RH	SFE	NULL
601874-000801	STOWAGE S2, 15" MID LH	SFE	NULL
601874-001001	STOWAGE S7, 18" MID LH	SFE	NULL
601879-000301	GALLEY G3b	SFE	NULL
601879-000401	GALLEY G3b	SFE	NULL
601879-000601	GALLEY G3b	SFE	NULL
601879-000701	GALLEY G3b	SFE	NULL
601879-000801	GALLEY G3b	SFE	NULL
601879-000901	GALLEY G3b	SFE	NULL
601879-001101	GALLEY G3b	SFE	NULL
601879-001201	GALLEY G3b	SFE	NULL
601879-001401	GALLEY G3b	SFE	NULL
601879-001601	GALLEY G3b	SFE	NULL
601879-002001	GALLEY G3b	SFE	NULL
601879-002201	GALLEY G3b	SFE	NULL
601879-002601	GALLEY G3b	SFE	NULL
601888-002601	GALLEY G4a	SFE	NULL
601888-002701	GALLEY G4a	SFE	NULL
601888-002801	GALLEY SG4a	SFE	NULL
601888-002901	GALLEY G4a	SFE	NULL
601888-004501	GALLEY G4a	SFE	NULL
601888-004701	GALLEY G4a	SFE	NULL
601888-004801	GALLEY G4a	SFE	NULL
601888-005001	GALLEY SG4	SFE	NULL
601888-005101	GALLEY SG4	SFE	NULL
601888-005301	GALLEY G4a	SFE	NULL
601888-005401	GALLEY G4a	SFE	NULL
601888-005501	GALLEY G4a	SFE	NULL
601891-000301	Galley G4b	SFE	NULL
601891-000401	Galley G4b	SFE	NULL
601891-000501	Galley G4b	SFE	NULL
601891-000601	Galley G4b	SFE	NULL
601891-000701	Galley G4b	SFE	NULL
601891-000801	Galley G4b	SFE	NULL
601891-000901	Galley G4b	SFE	NULL
601891-001001	Galley G4b	SFE	NULL
601891-001101	GALLEY G4B	SFE	NULL
601891-001201	GALLEY G4B	SFE	NULL
601891-001301	GALLEY G4b	SFE	NULL
601891-001401	GALLEY G4B	SFE	NULL
601891-001501	GALLEY G4B	SFE	NULL
601891-001601	GALLEY G4B	SFE	NULL
601891-001701	GALLEY G4b	SFE	NULL
601891-001801-REWORK	601891-001801_vs_602891-11T	NULL	NULL
601891-001901	GALLEY G4B	SFE	NULL
601891-001901_REWORK	GALLEY G4B REWORK	NULL	NULL
601891-002101	GALLEY G4B	SFE	NULL
601891-002301	Galley G4b	SFE	NULL
601891-002401	GALLEY G4b	SFE	NULL
601891-002501	GALLEY G4b	SFE	NULL
601891-002601	GALLEY G4b	SFE	NULL
601891-002701	Galley G4b	SFE	NULL
601891-002801	Galley G4b	SFE	NULL
601891-002901	GALLEY G4B	SFE	NULL
601891-003001	GALLEY G4B	SFE	NULL
601891-003101	GALLEY G4B	SFE	NULL
601891-003301	GALLEY G4B	SFE	NULL
601891-003401	GALLEY G4B	SFE	NULL
601891-003501	GALLEY G4B	SFE	NULL
601891-003601	GALLEY G4B	SFE	NULL
601891-003801	GALLEY G4B	SFE	NULL
601891-003901	GALLEY G4B	SFE	NULL
601891-004001	GALLEY G4B	SFE	NULL
601891-004101	GALLEY G4B	SFE	NULL
601891-004201	GALLEY G4B	SFE	NULL
601891-004301	GALLEY G4B	SFE	NULL
601891-004401	GALLEY G4B	SFE	NULL
601891-004501	GALLEY G4B	SFE	NULL
601891-004901	GALLEY G4B	SFE	NULL
601891-005001	GALLEY G4B	SFE	NULL
601891-005401	GALLEY G4B	SFE	NULL
601891-005501	GALLEY G4B	SFE	NULL
601891-005601	GALLEY G4B	SFE	NULL
601891-005701	GALLEY G4B	SFE	NULL
601891-005801	GALLEY G4B	SFE	NULL
601891-005901	GALLEY G4B	SFE	NULL
601891-006001	GALLEY G4B	SFE	NULL
601891-006101	GALLEY G4B	SFE	NULL
601891-006301	GALLEY G4B	SFE	NULL
601891-006401	GALLEY G4B	SFE	NULL
601891-006501	GALLEY G4B	SFE	NULL
601891-006601	GALLEY G4B	SFE	NULL
601891-007201	GALLEY G4B	SFE	NULL
601891-007301	GALLEY G4B	SFE	NULL
601891-007401	GALLEY G4B	SFE	NULL
601891-007801	GALLEY G4B	SFE	NULL
601891-007901	GALLEY G4B	SFE	NULL
601891-008801	GALLEY G4B	SFE	NULL
601891-M002401	GALLEY G4b	SFE	NULL
601902-000001	STOWAGE S2, 21" FWD RH	SFE	NULL
601903-000001	GALLEY SG4	SFE	NULL
601907-000001	STOWAGE S3	SFE	NULL
601907-000101	STOWAGE S3	SFE	NULL
601907-000201	STOWAGE S3,36.6" MID RH	SFE	NULL
601907-000301	STOWAGE S3,36.6" MID RH	SFE	NULL
601908-000001	STOWAGE S1, 20" FWD LH	SFE	NULL
601908-000002	STOWAGE S2	SFE	NULL
601908-000101	STOWAGE S1, 36.6"	SFE	NULL
601910-000001	STOWAGE S1, 21" FWD LH	SFE	NULL
601910-000101	STOWAGE S1, 21" FWD LH	SFE	NULL
601911-000001	STOWAGE S2, 18" FWD RH	SFE	NULL
601911-000101	STOWAGE S2, 18" FWD RH	SFE	NULL
601912-000101	GALLEY PART OF AFT COMPLEX	BFE	NULL
601912-000301	GALLEY PART OF AFT COMPLEX	BFE	NULL
601912-000501	GALLEY PART OF AFT COMPLEX	BFE	NULL
601917-000001	STOWAGE S2	SFE	NULL
601918-000001	STOWAGE S1, 18" FWD LH	SFE	NULL
601919-000001	GALLEY G1	SFE	NULL
601919-000101	GALLEY G1	SFE	NULL
601920-000001	GALLEY G5	SFE	NULL
601920-000201	GALLEY G5	SFE	NULL
601921-000001	S1, 30" FWD LH	SFE	NULL
601922-000001	S3, 12" AFT LH	SFE	NULL
601922-000002	S4, 12" AFT RH	SFE	NULL
601923-000001	Galley G1	SFE	NULL
601924-000001	Galley G2a	SFE	NULL
601925-000001	Galley G3b	SFE	NULL
601926-000001	STOWAGE S1	SFE	NULL
601927-000001	STOWAGE S51	SFE	NULL
601927-000002	Stowage S62	SFE	NULL
601928-000001	Galley G1	SFE	NULL
601929-000001	Galley G3b	SFE	NULL
601930-000001	Galley G4b	SFE	NULL
601930-000101	Galley G4b	SFE	NULL
601931-000001	STOWAGE S1	SFE	NULL
601931-000002	Stowage S2	SFE	NULL
601933-000001	STOWAGE S3	SFE	NULL
601933-000002	Stowage S4	SFE	NULL
601934-000001	STOWAGE S1	SFE	NULL
601935-000001	GALLEY G8	SFE	NULL
601936-000001	STOWAGE S13	SFE	NULL
601936-000002	STOWAGE S14	SFE	NULL
601937-000001	GALLEY G2a H/S	SFE	NULL
601938-000001	STOWAGE C1, 18" FWD LH	SFE	NULL
601939-000001	Galley G1	SFE	NULL
601940-000001	Galley G4b	SFE	NULL
601940-000101	Galley G4b	SFE	NULL
601941-000001	STOWAGE S51 15"AFT FH LH	SFE	NULL
601941-000002	STOWAGE S62 15"AFT FH RH	SFE	NULL
601941-000101	STOWAGE S51 15"AFT FH LH	SFE	NULL
601941-000102	S62 15"AFT FH RH	SFE	NULL
601941-000201	STOWAGE S51 15"AFT FH LH	SFE	NULL
601941-000302	STOWAGE S62 15"AFT FH RH	SFE	NULL
601942-000001	S1 12" FWD LH	SFE	NULL
601942-000002	S2 12" FWD RH	SFE	NULL
601943-000001	S6 19" AFT RH	SFE	NULL
601944-000001	S62 15" AFT FH RH	SFE	NULL
601944-M000001	S62 15" AFT FH RH	SFE	NULL
601945-000001	STOWAGE S51 15"	SFE	NULL
601945-000002	S62 AFT FH RH	SFE	NULL
601945-000102	STOWAGE S62 15"	SFE	NULL
601946-000001	Galley G3	SFE	NULL
601951-000001	Galley G2a	SFE	NULL
601952-000001	STOWAGE S1, 18" FWD LH	SFE	NULL
601953-000001	STOWAGE S7, 18"	SFE	NULL
601954-000001	STOWAGE S1, 12" FWD LH	SFE	NULL
601954-000002	Stowage S2, 12" FWD RH	SFE	NULL
601955-000001	STOWAGE S5, 12" AFT LH	BFE	NULL
601955-000001_REWORK	STOWAGE S5, 12" AFT LH	BFE	NULL
601955-000101	STOWAGE S5, 12" AFT LH	BFE	NULL
601957-000001	Galley G2a	SFE	NULL
601958-000001	Galley G4A	SFE	NULL
601959-000001	STOWAGE S5, 18” AFT LH FH	SFE	NULL
601960-000001	STOWAGE S1, 13" FWD LH	SFE	NULL
601960-000002	Stowage S2, 13" FWD RH	SFE	NULL
601961-000001	STOWAGE S1, 15" FWD LH	SFE	NULL
601961-000002	Stowage S2, 15" FWD RH	SFE	NULL
601962-000001	STOWAGE S1, 18" FWD LH	SFE	NULL
601963-000001	Galley G2a	SFE	NULL
601964-000001	STOWAGE S1 FWD LH 15"	SFE	NULL
601964-000101	STOWAGE S1 FWD LH 15"	SFE	NULL
601965-000002	Stowage S4 AFT RH 15"	SFE	NULL
601966-000002	STOWAGE S22, 15" FWD RH	SFE	NULL
601967-000001	STOWAGE S51, 15" AFT LH	SFE	NULL
601967-000002	STOWAGE S62, 15" AFT RH	SFE	NULL
601969-000001	STOWAGE S1, 18" FWD LH	SFE	NULL
601970-000001	STOWAGE S51, 15" AFT LH	SFE	NULL
601971-000001	STOWAGE S1, 17" FWD LH FH	SFE	NULL
601971-000002	Stowage S2, 17" FWD RH	SFE	NULL
601972-000001	STOWAGE S3, 31,6" MID RH FH	SFE	NULL
601974-000001	STOWAGE S3, 15" AFT FH LH	SFE	NULL
601975-000001	STOWAGE S5, 15" AFT BO LH	SFE	NULL
601978-000001	STOWAGE S1, 18" FWD FH LH	SFE	NULL
601978-M000001	STOWAGE S1, 18" FWD FH LH	NULL	NULL
601979-000001	STOWAGE S2, 18" FWD FH RH	SFE	NULL
601984-000002	STOWAGE S2, 18" FWD RH L-SHAPE	SFE	NULL
601986-000002	STOWAGE S62	SFE	NULL
601987-000002	STOWAGE S62	SFE	NULL
601989-000001	STOWAGE S51	SFE	NULL
601991-000001	STOWAGE S51, 15" AFT FH LH	SFE	NULL
601992-000001	STOWAGE S1 15" FWD BO LH	SFE	NULL
601993-000002	STOWAGE S22 15" FWD FH RH	SFE	NULL
6019A0-000001	STOWAGE S2 15"	SFE	NULL
6019A1-000001	STOWAGE S62 15"	SFE	NULL
605311-911	PANEL ASSY	BFE	NULL
605312-911	PANEL ASSY	BFE	NULL
616400-10421	EXHAUST PANEL ASSY	BFE	NULL
621322-11	INSTALLATION DWG	BFE	NULL
623335-7	BRACKET	BFE	NULL
623401-5103	WORKDECK PLATE	BFE	NULL
623401-7	WORKDECK PLATE	BFE	NULL
624301-31	CABLE LOOM P516	BFE	NULL
627400-10511	BOX ASSY	BFE	NULL
627400-11011	BOX ASSY	BFE	NULL
627401-50751	BOX CONT. ASSY	BFE	NULL
627401-52411	CONTAINER BOX	BFE	NULL
629288-11	WHEELCHAIR STOWAGE	BFE	NULL
629400-11431	WASTE CONTAINER ASSY	BFE	NULL
629401-61	WASTE CONTAINER ASSY	BFE	NULL
635335-61	BOX	BFE	NULL
646885-21	AUXILIARY TABLE	SFE	NULL
646886-151	AUXILIARY TABLE	SFE	NULL
646886-21	AUXILIARY TABLE	SFE	NULL
646911-21	AUXILIARY TABLE	SFE	NULL
646911-51	AUXILIARY TABLE	SFE	NULL
646911-81	AUXILIARY TABLE	SFE	NULL
650401-52213	TROLLEY BUMPER	BFE	NULL
653301-43	PUSH KNOB	BFE	NULL
653301-61	CATCHER	BFE	NULL
660400-19	PLUG, WORKDECK	BFE	NULL
660401-19	PLUG, WORKDECK	BFE	NULL
660401-27	PLUG, WORKDECK	BFE	NULL
663323-11	STRAP ASSY	BFE	NULL
665202-2133	ANGLE	BFE	NULL
675401-211	DOOR ASSY	BFE	NULL
675401-51	DOOR ASSY	BFE	NULL
679951-3	PLACARD, SB IMPLEMENTED	SFE	NULL
679952-3	PLACARD, SB IMPLEMENTED	SFE	NULL
680850-11	COMPARTMENT C	SFE	NULL
680951-11	CONVERSION KIT	SFE	NULL
680952-11	CONFIGURATION CHANGE	SFE	NULL
685205-31	BRACKET ASSY	BFE	NULL
689276-11	DECOR DRAWING	BFE	NULL
689306-21	MODIFICATION KIT	BFE	NULL
689306-31	MODIFICATION KIT	BFE	NULL
695400-3	PLACARD	BFE	NULL
699326-311	MODIFICATION KIT	BFE	NULL
699345-11	MODIFICATION KIT	BFE	NULL
699534-21	MODIFICATION KIT	NULL	NULL
9-2000-780	OCM	SFE	NULL
9-4000-028	LATCH TOOL	SFE	NULL
6019A4-000002	Stowage S62 15"	SFE	NULL
G901001-125AA	Lavatory DAL01	SFE	NULL
G901001-127AA	Lavatory FFT07	SFE	NULL
G901001-129AA	Lavatory LAN10	SFE	NULL
G901001-131AA	Lavatory ANA06	SFE	NULL
G901001-133AA	Lavatory 53V01	SFE	NULL
G901001-135AA	Lavatory SAS03	SFE	NULL
G901001-137AA	Lavatory VLG03	SFE	NULL
G901001-139AA	Lavatory ANA05	SFE	NULL
G901001-147AA	Lavatory JBU (CC)	SFE	NULL
G901001-149AA	Lavatory JBU (EHC)	SFE	NULL
G901001-151AA	Lavatory Finnair retrofit	SFE	NULL
G901001-153AA	Lavatory EZY03	SFE	NULL
G901001-155AA	Lavatory ANA07	SFE	NULL
G901001-157AA	Lavatory NVR01	SFE	NULL
G901001-159AA	Lavatory 90U04	SFE	NULL
G901001-161AA	Lavatory VJC04	SFE	NULL
G901001-163AA	Lavatory DAL01	SFE	NULL
G901001-165AA	Lavatory LKE01	SFE	NULL
G901001-165AB	Lavatory LKE01 SFV2	SFE	NULL
G901001-167AA	Lavatory TGW03	SFE	NULL
G901001-169AA	Lavatory VLG05	SFE	NULL
G901001-171AA	Lavatory CDC02	SFE	NULL
G901001-173AA	Lavatory BAW11	SFE	NULL
G901001-175AA	Lavatory JAT02	SFE	NULL
G901001-177AA	Lavatory 53V01	SFE	NULL
G901001-179AA	Lavatory EZY05	SFE	NULL
G901001-181AA	Lavatory IBE13	SFE	NULL
G901001-183AA	Lavatory CEB05	SFE	NULL
G901001-185AA	Lavatory BAW12	SFE	NULL
G901001-187AA	Lavatory SKU01	SFE	NULL
G901001-189AA	Lavatory CBG01	SFE	NULL
G901001-191AA	Lavatory SFJ02 D11and on	SFE	NULL
G901001-193AA	Lavatory AXM03 SS29 and on	SFE	NULL
G901001-193AB	Lavatory AXM03	SFE	NULL
G901001-195AA	Lavatory DAL01	SFE	NULL
G901001-197AA	Lavatory 72X03	SFE	NULL
G901001-199AA	Lavatory KNE03	SFE	NULL
G901001-205AA	Lavatory QJT02	SFE	NULL
G901001-207AA	Lavatory QJT02	SFE	NULL
G901001-209AA	Lavatory CEB06	SFE	NULL
G901001-211AA	Lavatory 32Y04	SFE	NULL
G901001-213AA	Lavatory 32Y06 D5	SFE	NULL
G901001-215AA	Lavatory 72X02	SFE	NULL
G901001-217AA	Lavatory AAY01	SFE	NULL
G901001-219AA	Lavatory 32Y06	SFE	NULL
G901001-221AA	Lavatory EZY04	SFE	NULL
G901001-223AA	Lavatory PIC02	SFE	NULL
G901001-225AA	Lavatory WZZ01	SFE	NULL
G901001-229AA	Lavatory 72X02	SFE	NULL
G901001-231AA	Lavatory BAW	SFE	NULL
G901001-233AA	Lavatory (BAW2)	SFE	NULL
G901001-235AA	Lavatory Jetstar retrofit	SFE	NULL
G901001-237AA	Lavatory 36M01	SFE	NULL
G901001-239AA	Lavatory SBI03	SFE	NULL
G901001-241AA	Lavatory LAN11	SFE	NULL
G901001-243AA	Lavatory AVA07	SFE	NULL
G901001-245AA	Lavatory VJC03	SFE	NULL
G901001-247AA	Lavatory JST03	SFE	NULL
G901001-249AA	Lavatory EZY04	SFE	NULL
G901001-249AA-MU	Lavatory CDC - mock up	SFE	NULL
G901001-251AA	Lavatory ANA05	SFE	NULL
G901001-253AA	Lavatory ANA07	SFE	NULL
G901001-255AA	Lavatory BAW11	SFE	NULL
G901001-257AA	Lavatory CDC02	SFE	NULL
G901001-259AA	Lavatory GOW02	SFE	NULL
G901001-263AA	Lavatory VIV02	SFE	NULL
G901001-265AA	Lavatory VJC04 D9	SFE	NULL
G901001-267AA	Lavatory VLG05	SFE	NULL
G901001-269AA	Lavatory HTU02	SFE	NULL
G901001-271AA	Lavatory 93M01	SFE	NULL
G901001-275AA	Lavatory LAN10	SFE	NULL
G901001-277AA	Lavatory SBI03	SFE	NULL
G901001-279AA	Lavatory HTU01	SFE	NULL
G901001-281AA	Lavatory WZZ03	SFE	NULL
G901001-283AA	Lavatory J3K05	SFE	NULL
G901001-285AA	Lavatory BAW	SFE	NULL
G901001-287AA	Lavatory BAW	SFE	NULL
G901001-289AA	Lavatory EIN06	SFE	NULL
G901001-299AA	Lavatory IBE13 D3	SFE	NULL
G901001-301AA	Lavatory FLI03	SFE	NULL
G901001-305AA	Lavatory OMS01 D1	SFE	NULL
G901001-309AA	Lavatory VJC04	SFE	NULL
G901001-313AA	Lavatory CEB07	SFE	NULL
G901002-503	INSTALLATION KIT	SFE	NULL
G901314GADC507	O2 INST KIT 22 M DEC	SFE	NULL
G901314GAFH501	O2 INST KIT	SFE	NULL
G901439-501	FIRE EXTING INSTL KIT	SFE	NULL
QTR_RW_G1	QTR G1 rework	NULL	NULL
QTR_RW_G2	QTR G2 rework	NULL	NULL
QTR_RW_G5	QTR G5 rework	NULL	NULL
SWISS_RW_301	Swiss rework to conf -301	NULL	NULL
601891-009901	Galley G4b	SFE	NULL
601891-005101	GALLEY G4B	SFE	NULL
601891-005201	GALLEY G4B	SFE	NULL
601891-005301	GALLEY G4B	SFE	NULL
601891-009101	GALLEY G4b	SFE	NULL
601891-009201	Galley G4b	SFE	NULL
601891-009301	Galley G4b	SFE	NULL
601891-008401	Galley G4b	SFE	NULL
601875-000101	STOWAGE S9, 12" MID LH	SFE	NULL
601875-000102	STOWAGE S10, 10" MID LH	SFE	NULL
601876-000002	STOWAGE S14, 24"	SFE	NULL
601876-000102	STOWAGE S14, 24"	SFE	NULL
601903-000101	GALLEY SG4	SFE	NULL
601904-000001	STOWAGE S1, 11" FWD RH	SFE	NULL
601906-000001	STOWAGE S4 22" FWD LH	SFE	NULL
601891-006701	GALLEY G4B	SFE	NULL
601891-007001	GALLEY G4B	SFE	NULL
601891-007501	GALLEY G4B	SFE	NULL
601891-007601	GALLEY G4B	SFE	NULL
601891-007701	GALLEY G4B	SFE	NULL
601888-M002801	GALLEY SG4a	SFE	NULL
601851-000201	GALLEY G1	SFE	NULL
601851-000301	GALLEY G1	SFE	NULL
601851-000601	GALLEY G1	SFE	NULL
601851-000801	GALLEY G1	SFE	NULL
601851-000901	GALLEY G1	SFE	NULL
601851-001201	GALLEY G1	SFE	NULL
601851-001301	GALLEY G1	SFE	NULL
601851-001401	GALLEY G1	SFE	NULL
601851-001501	GALLEY G1	SFE	NULL
601851-001601	GALLEY G1	SFE	NULL
601851-001701	GALLEY G1	SFE	NULL
601851-001801	GALLEY G1	SFE	NULL
601851-002101	GALLEY G1	SFE	NULL
601851-002201	GALLEY G1 (CBJ02)	SFE	NULL
601851-002301	GALLEY G1	SFE	NULL
601851-002501	GALLEY G1	SFE	NULL
601851-002601	GALLEY G1	SFE	NULL
601851-002701	GALLEY G1	SFE	NULL
601851-002801	GALLEY G1	SFE	NULL
601851-002901	GALLEY G1	SFE	NULL
601851-003001	GALLEY G1	SFE	NULL
601851-003101	GALLEY G1	SFE	NULL
601851-003201	GALLEY G1	SFE	NULL
601851-003301	GALLEY G1	SFE	NULL
601851-003401	GALLEY G1	SFE	NULL
601858-002201	GALLEY G5	SFE	NULL
601858-002401	GALLEY G5	SFE	NULL
601858-002501	Etihad Airways (ETD02)	SFE	NULL
601858-002601	GALLEY G5	SFE	NULL
601858-002701	GALLEY G5	SFE	NULL
601858-002801	GALLEY G5	SFE	NULL
601858-003001	GALLEY G5	SFE	NULL
601858-003301	GALLEY G5	SFE	NULL
601858-003401	GALLEY G5	SFE	NULL
601858-003501	GALLEY G5	SFE	NULL
601858-003601	GALLEY G5	SFE	NULL
601858-003701	GALLEY G5	SFE	NULL
601858-003801	GALLEY G5	SFE	NULL
601858-003901	GALLEY G5	SFE	NULL
601858-004101	GALLEY G5	SFE	NULL
601858-004401	GALLEY G5	SFE	NULL
601858-004601	GALLEY G5	SFE	NULL
601858-004701	GALLEY G5	SFE	NULL
601858-004801	GALLEY G5	SFE	NULL
601858-004901	GALLEY G5	SFE	NULL
601858-005001	GALLEY G5	SFE	NULL
601858-005101	GALLEY G5	SFE	NULL
601858-005201	GALLEY G5	SFE	NULL
601858-005301	GALLEY G5 Loc. V	SFE	NULL
601858-005401	GALLEY G5	SFE	NULL
601858-005501	GALLEY G5	SFE	NULL
601858-005601	GALLEY G5	SFE	NULL
601858-005701	GALLEY G5	SFE	NULL
601858-005801	GALLEY G5	SFE	NULL
601858-005901	GALLEY G5	SFE	NULL
601858-006001	GALLEY G5	SFE	NULL
601858-006101	GALLEY G5	SFE	NULL
601858-006201	GALLEY G5 (AWW04)	SFE	NULL
601858-006301	GALLEY G5 (CBJ03)	SFE	NULL
601858-006501	GALLEY G5	SFE	NULL
601858-006601	GALLEY G5	SFE	NULL
601858-006801	GALLEY G5	SFE	NULL
601858-006901	GALLEY G5	SFE	NULL
601858-007001	GALLEY G5	SFE	NULL
601858-007101	GALLEY G5	SFE	NULL
601858-007201	GALLEY G5	SFE	NULL
601858-007501	GALLEY G5	SFE	NULL
601858-007601	GALLEY G5	SFE	NULL
601858-007701	GALLEY G5	SFE	NULL
601851-003501	Galley G1	SFE	NULL
601851-003601	GALLEY G1	SFE	NULL
601851-003701	GALLEY G1	SFE	NULL
601851-004001	GALLEY G1	SFE	NULL
601851-004101	GALLEY G1	SFE	NULL
601851-004201	GALLEY G1	SFE	NULL
601851-004301	GALLEY G1	SFE	NULL
601851-004701	GALLEY G1	SFE	NULL
601851-004801	GALLEY G1	SFE	NULL
601851-004901	GALLEY G1	SFE	NULL
601851-005001	GALLEY G1	SFE	NULL
